,col1,col2,col3,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15
1,Re-Wri-Sp-Dictation-3,v2,r9,to define themselves,to define themselves., to define themselves in., to define themselves in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Re-Wri-Sp-Dictation-8,v2,r7,urban taxis,urban taxis., flying urban taxis, flying urban taxis., flying urban taxis is, flying urban taxis is. on flying urban taxis is, on flying urban taxis is.,NA,NA,NA,NA,NA,NA,NA,NA
3,Re-Wri-Sp-Dictation-10,v1,r6,is where our group,is where our group., is where our group first, is where our group first.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Re-Wri-Sp-Dictation-9,v1,r6,that poverty worldwide,that poverty worldwide., the poverty worldwide, the poverty worldwide., that poverty worldwide has, that poverty worldwide has., the poverty worldwide has, the poverty worldwide has.,NA,NA,NA,NA,NA,NA,NA
5,Re-Wri-Sp-Dictation-7,v1,r6,options to choose from,options to choose from. fewer options to choose from, fewer options to choose from.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Re-Wri-Sp-Dictation-6,v2,r7,of others' houses,of others' houses., of others' houses to., of others' houses to, of others´ houses, of others´ houses., of others´ houses to, of others´ houses to., of others` houses, of others` houses., of others` houses to., of others` houses to,NA,NA,NA
7,Re-Wri-Sp-Dictation-5,v1,r6,in South Africa,in South Africa., In South Africa., In South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Re-Wri-Sp-Dictation-4,v2,r7,such a small-brained,for such a small-brained, such a small-brained individual, such a small-brained., for such a small-brained., such a small-brained individual.,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Re-Wri-Sp-Dictation-2,v2,r8,They're our future,They are our future, they're our future., they are our future., They´re our future, They´re our future., They`re our future, They`re our future.,NA,NA,NA,NA,NA,NA,NA
10,Re-Wri-Sp-Dictation-1,v1,r6,is probably useful,is probably useful, is probably useful., than is probably useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Re-List-Int-DictationNotes-2,v2,r8,i didn't want to be in that position,i did not want to be in that position, i didn't want to be in that position., i did not want to be in that position. x i did not wanna be in that position, i didn't wanna be in that position., i did not wanna be in that position.  i didn´t wanna be in that position., i didn´t want to be in that position., i didn´t wanna be in that position, i didn´t want to be in that position, i didn`t wanna be in that position., i didn`t want to be in that position., i didn`t wanna be in that position, i didn`t want to be in that position, I didn't wanna be in that position,NA
12,Re-List-Int-DictationNotes-1,v2,r9,I'm an apprentice,i am an apprentice, i'm an apprentice., i am an apprentice., i´m an apprentice., i´m an apprentice,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Re-List-Int-DictationNotes-5,v1,r7,progress is still possible,progress is still possible.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Re-List-Int-DictationNotes-7,v2,r9,economic growth has been doing very nicely,economic growth's been doing very nicely, economic growth has been doing very nicely., economic growth's been doing very nicely., economic growth´s been doing very nicely, economic growth´s been doing very nicely.,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Re-List-Int-DictationNotes-10,v2,r8,to be able to adapt to this,to be able to adapt to this.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Re-list-Int-DictationNotes-9,v2,r7,is exactly what we should be aiming for,is exactly what we should be aiming for., is exactly what she should be aiming for, is exactly what she should be aiming for., is exactly, what she should be aiming for., is exactly,NA,NA,NA,NA,NA,NA,NA,NA
17,Re-Read-Voc-MeaningWord-21,v1,r3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Re-Read-Voc-MeaningWord-22,v1,r3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Re-Read-Voc-MeaningWord-23,v1,r3,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Re-Read-Voc-MeaningWord-24,v1,r3,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Re-Read-Voc-MeaningWord-25,v1,r3,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Re-Read-Voc-MeaningWord-26,v1,r3,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Re-Read-Voc-MeaningWord-27,v1,r3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Re-Read-Voc-MeaningWord-28,v1,r4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Re-Read-Voc-MeaningWord-29,v1,r4,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Re-Read-Voc-MeaningWord-30,v1,r3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Re-Read-Log-LinkingWords-31,v1,r2,On the other hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Re-Read-Log-LinkingWords-32,v1,r2,That's why,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Re-Read-Log-LinkingWords-33,v1,r2,Besides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Re-Read-Log-LinkingWords-34,v1,r2,when,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Re-Read-Log-LinkingWords-35,v1,r2,Apparently,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Re-Read-Log-LinkingWords-36,v1,r2,That's why,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Re-Read-Log-LinkingWords-37,v1,r2,Even though,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Re-Read-Log-LinkingWords-38,v1,r2,When,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Re-Read-Log-LinkingWords-39,v1,r2,whereas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Re-Read-Log-LinkingWords-40,v1,r2,Accordingly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Re-Read-Log-LinkingWords-41,v1,r3,Moreover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Re-Read-Log-LinkingWords-42,v1,r3,provided that,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Re-Read-Und-TextComprehension-1,v1,r7,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Re-Read-Und-TextComprehension-2,v1,r6,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Re-Read-Log-TextConnection-1,v1,r7,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Re-Read-Log-TextConnection-2,v1,r7,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Re-Read-Log-SelectArgument-2,v1,r7,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Re-Read-Log-SelectArgument-1,v1,r7,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Re-Read-Log-FindFallacy-1,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Re-Read-Log-FindFallacy-2,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Re-Read-Log-FindFallacy-3,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Re-Read-Log-FindFallacy-4,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,ReFdL-List-Und-Lectures-1,v1,r10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,ReFdL-List-Und-Lectures-2,v1,r9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,ReFdM-List-Und-Lectures-03,v1,r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,ReFdM-List-Und-Lectures-04,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,ReFdL-List-Und-Lectures-3,v1,r9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,ReFdL-List-Und-Lectures-4,v1,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,ReFdL-List-Und-Lectures-5,v1,r9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,ReFdL-List-Und-Lectures-6,v1,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,ReFFTR-Wri-Gram-SelectForm-20,v1,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,ReFFTR-Wri-Gram-SelectForm-19,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,ReFFTR-Wri-Gram-SelectForm-18,v2,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,ReFFTR-Wri-Gram-SelectForm-17,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,ReFFTR-Wri-Gram-SelectForm-16,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,ReFFTR-Wri-Gram-SelecForm-15,v2,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ReFFTR-Wri-Gram-SelectForm-14,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,ReFFTR-Wri-Gram-SelectForm-13,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,ReFFTR-Wri-Gram-SelectForm-12,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,ReFFTR-Wri-Gram-SelectForm-11,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,ReFFTR-Wri-Gram-SelectForm-10,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,ReFFTR-Wri-Gram-SelectForm-09,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,ReFFTR-Wri-Gram-SelectForm-08,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,ReFFTR-Wri-Gram-SelectForm-07,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,ReFFTR-Wri-Gram-SelectForm-06,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,ReFFTR-Wri-Gram-SelectForm-05,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,ReFFTR-Wri-Gram-SelectForm-04,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,ReFFTR-Wri-Gram-SelectForm-03,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,ReFFTR-Wri-Gram-SelectForm-02,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,ReFFTR-Wri-Gram-SelectForm-01,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,ReFFTR-Wri-Sp-Hotspot-01,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Re-Wri-Gram-SelectForm-1,v2,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Re-Wri-Gram-SelectForm-2,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Re-Wri-Gram-SelectForm-3,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Re-Wri-Gram-SelectForm-4,v2,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Re-Wri-Gram-SelectForm-5,v2,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Re-Wri-Gram-SelectForm-6,v2,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Re-Wri-Gram-SelectForm-7,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Re-Wri-Gram-SelectForm-8,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Re-Wri-Gram-SelectForm-9,v3,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Re-Wri-Gram-SelectForm-10,v2,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Re-Wri-Gram-SelectForm-11,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Re-Wri-Gram-SelectForm-12,v3,r10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Re-Wri-Gram-SelectForm-13,v2,r9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Re-Wri-Gram-SelectForm-14,v3,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Re-Wri-Gram-SelectForm-15,v1,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Re-Wri-Gram-SelectForm-16,v1,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Re-Wri-Gram-SelectForm-17,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Re-Wri-Gram-SelectForm-18,v2,r8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Re-Wri-Gram-SelectForm-19,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Re-Wri-Gram-SelectForm-20,v2,r8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,ReFdL-Wri-Sp-Hotspot-1,v3,r9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,ReFdM-Wri-Gram-SelectForm-15a,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,ReFdM-Wri-Gram-SelectForm-19,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,ReFdM-Wri-Gram-SelectForm-08,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,ReFdM-Wri-Gram-SelectForm-04,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,ReFdM-Wri-Gram-SelectForm-06,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,ReFdM-Wri-Gram-SelectForm-16,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,ReFdM-Wri-Gram-SelectForm-14,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,ReFdM-Wri-Gram-SelectForm-07,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,ReFdM-Wri-Gram-SelectForm-17,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,ReFdM-Wri-Gram-SelectForm-01,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,ReFdM-Wri-Gram-SelectForm-02,v1,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,ReFdM-Wri-Gram-SelectForm-03,v1,r8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,ReFdM-Wri-Gram-SelectForm-05,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,ReFdM-Wri-Gram-SelectForm-09,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,ReFdM-Wri-Gram-SelectForm-10,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,ReFdM-Wri-Gram-SelectForm-12,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,ReFdM-Wri-Gram-SelectForm-13,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,ReFdM-Wri-Gram-SelectForm-18,v2,r5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,ReFdM-Wri-Gram-SelectForm-20,v1,r6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,ReFdM-Wri-Gram-SelectForm-11,v1,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,ReFdM-Wri-Sp-Hotspot-01,v1,r7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,ReFdM-List-Und-Lectures-01,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,ReFdM-List-Und-Lectures-02,v1,r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,ReFdM-List-Und-Lectures-05,v1,r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,ReFdM-List-Und-Lectures-06,v1,r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,ReFNWI-Wri-Gram-SelectForm-20,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,ReFNWI-Wri-Gram-SelectForm-19,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,ReFNWI-Wri-Gram-SelectForm-18,v2,r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,ReFNWI-Wri-Gram-SelectForm-17,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,ReFNWI-Wri-Gram-SelectForm-16,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,ReFNWI-Wri-Gram-SelectForm-15,v1,r3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
