,col1,col2,col3,,allkeys,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15
1,Re-Wri-Sp-Dictation-3,v2,r9,,,,,,,,,,,,,,,,,
2,Re-Wri-Sp-Dictation-8,v2,r7,,,,,,,,,,,,,,,,,
3,Re-Wri-Sp-Dictation-10,v1,r6,,,,,,,,,,,,,,,,,
4,Re-Wri-Sp-Dictation-9,v1,r6,,,,,,,,,,,,,,,,,
5,Re-Wri-Sp-Dictation-7,v1,r6,,,,,,,,,,,,,,,,,
6,Re-Wri-Sp-Dictation-6,v2,r7,,,,,,,,,,,,,,,,,
7,Re-Wri-Sp-Dictation-5,v1,r6,,,,,,,,,,,,,,,,,
8,Re-Wri-Sp-Dictation-4,v2,r7,,,,,,,,,,,,,,,,,
9,Re-Wri-Sp-Dictation-2,v2,r8,,,,,,,,,,,,,,,,,
10,Re-Wri-Sp-Dictation-1,v1,r6,,,,,,,,,,,,,,,,,
11,Re-List-Int-DictationNotes-2,v2,r8,,,,,,,,,,,,,,,,,
12,Re-List-Int-DictationNotes-1,v2,r9,,,,,,,,,,,,,,,,,
13,Re-List-Int-DictationNotes-5,v1,r7,,,,,,,,,,,,,,,,,
14,Re-List-Int-DictationNotes-7,v2,r9,,,,,,,,,,,,,,,,,
15,Re-List-Int-DictationNotes-10,v2,r8,,,,,,,,,,,,,,,,,
16,Re-list-Int-DictationNotes-9,v2,r7,,,,,,,,,,,,,,,,,
17,Re-Read-Voc-MeaningWord-21,v1,r3,,,,,,,,,,,,,,,,,
18,Re-Read-Voc-MeaningWord-22,v1,r3,,,,,,,,,,,,,,,,,
19,Re-Read-Voc-MeaningWord-23,v1,r3,,,,,,,,,,,,,,,,,
20,Re-Read-Voc-MeaningWord-24,v1,r3,,,,,,,,,,,,,,,,,
21,Re-Read-Voc-MeaningWord-25,v1,r3,,,,,,,,,,,,,,,,,
22,Re-Read-Voc-MeaningWord-26,v1,r3,,,,,,,,,,,,,,,,,
23,Re-Read-Voc-MeaningWord-27,v1,r3,,,,,,,,,,,,,,,,,
24,Re-Read-Voc-MeaningWord-28,v1,r4,,,,,,,,,,,,,,,,,
25,Re-Read-Voc-MeaningWord-29,v1,r4,,,,,,,,,,,,,,,,,
26,Re-Read-Voc-MeaningWord-30,v1,r3,,,,,,,,,,,,,,,,,
27,Re-Read-Log-LinkingWords-31,v1,r2,,,,,,,,,,,,,,,,,
28,Re-Read-Log-LinkingWords-32,v1,r2,,,,,,,,,,,,,,,,,
29,Re-Read-Log-LinkingWords-33,v1,r2,,,,,,,,,,,,,,,,,
30,Re-Read-Log-LinkingWords-34,v1,r2,,,,,,,,,,,,,,,,,
31,Re-Read-Log-LinkingWords-35,v1,r2,,,,,,,,,,,,,,,,,
32,Re-Read-Log-LinkingWords-36,v1,r2,,,,,,,,,,,,,,,,,
33,Re-Read-Log-LinkingWords-37,v1,r2,,,,,,,,,,,,,,,,,
34,Re-Read-Log-LinkingWords-38,v1,r2,,,,,,,,,,,,,,,,,
35,Re-Read-Log-LinkingWords-39,v1,r2,,,,,,,,,,,,,,,,,
36,Re-Read-Log-LinkingWords-40,v1,r2,,,,,,,,,,,,,,,,,
37,Re-Read-Log-LinkingWords-41,v1,r3,,,,,,,,,,,,,,,,,
38,Re-Read-Log-LinkingWords-42,v1,r3,,,,,,,,,,,,,,,,,
39,Re-Read-Und-TextComprehension-1,v1,r7,,,,,,,,,,,,,,,,,
40,Re-Read-Und-TextComprehension-2,v1,r6,,,,,,,,,,,,,,,,,
41,Re-Read-Log-TextConnection-1,v1,r7,,,,,,,,,,,,,,,,,
42,Re-Read-Log-TextConnection-2,v1,r7,,,,,,,,,,,,,,,,,
43,Re-Read-Log-SelectArgument-2,v1,r7,,,,,,,,,,,,,,,,,
44,Re-Read-Log-SelectArgument-1,v1,r7,,,,,,,,,,,,,,,,,
45,Re-Read-Log-FindFallacy-1,v1,r4,,,,,,,,,,,,,,,,,
46,Re-Read-Log-FindFallacy-2,v1,r3,,,,,,,,,,,,,,,,,
47,Re-Read-Log-FindFallacy-3,v1,r3,,,,,,,,,,,,,,,,,
48,Re-Read-Log-FindFallacy-4,v1,r5,,,,,,,,,,,,,,,,,
49,ReFdL-List-Und-Lectures-1,v1,r10,,,,,,,,,,,,,,,,,
50,ReFdL-List-Und-Lectures-2,v1,r9,,,,,,,,,,,,,,,,,
51,ReFdM-List-Und-Lectures-03,v1,r2,,,,,,,,,,,,,,,,,
52,ReFdM-List-Und-Lectures-04,v1,r3,,,,,,,,,,,,,,,,,
53,ReFdL-List-Und-Lectures-3,v1,r9,,,,,,,,,,,,,,,,,
54,ReFdL-List-Und-Lectures-4,v1,r7,,,,,,,,,,,,,,,,,
55,ReFdL-List-Und-Lectures-5,v1,r9,,,,,,,,,,,,,,,,,
56,ReFdL-List-Und-Lectures-6,v1,r6,,,,,,,,,,,,,,,,,
57,ReFFTR-Wri-Gram-SelectForm-20,v1,r6,,,,,,,,,,,,,,,,,
58,ReFFTR-Wri-Gram-SelectForm-19,v1,r3,,,,,,,,,,,,,,,,,
59,ReFFTR-Wri-Gram-SelectForm-18,v2,r6,,,,,,,,,,,,,,,,,
60,ReFFTR-Wri-Gram-SelectForm-17,v1,r3,,,,,,,,,,,,,,,,,
61,ReFFTR-Wri-Gram-SelectForm-16,v1,r3,,,,,,,,,,,,,,,,,
62,ReFFTR-Wri-Gram-SelecForm-15,v2,r4,,,,,,,,,,,,,,,,,
63,ReFFTR-Wri-Gram-SelectForm-14,v1,r3,,,,,,,,,,,,,,,,,
64,ReFFTR-Wri-Gram-SelectForm-13,v1,r3,,,,,,,,,,,,,,,,,
65,ReFFTR-Wri-Gram-SelectForm-12,v1,r3,,,,,,,,,,,,,,,,,
66,ReFFTR-Wri-Gram-SelectForm-11,v1,r3,,,,,,,,,,,,,,,,,
67,ReFFTR-Wri-Gram-SelectForm-10,v1,r3,,,,,,,,,,,,,,,,,
68,ReFFTR-Wri-Gram-SelectForm-09,v1,r3,,,,,,,,,,,,,,,,,
69,ReFFTR-Wri-Gram-SelectForm-08,v1,r3,,,,,,,,,,,,,,,,,
70,ReFFTR-Wri-Gram-SelectForm-07,v1,r3,,,,,,,,,,,,,,,,,
71,ReFFTR-Wri-Gram-SelectForm-06,v1,r4,,,,,,,,,,,,,,,,,
72,ReFFTR-Wri-Gram-SelectForm-05,v1,r3,,,,,,,,,,,,,,,,,
73,ReFFTR-Wri-Gram-SelectForm-04,v1,r3,,,,,,,,,,,,,,,,,
74,ReFFTR-Wri-Gram-SelectForm-03,v1,r3,,,,,,,,,,,,,,,,,
75,ReFFTR-Wri-Gram-SelectForm-02,v1,r3,,,,,,,,,,,,,,,,,
76,ReFFTR-Wri-Gram-SelectForm-01,v1,r4,,,,,,,,,,,,,,,,,
77,ReFFTR-Wri-Sp-Hotspot-01,v1,r4,,,,,,,,,,,,,,,,,
78,Re-Wri-Gram-SelectForm-1,v2,r6,,,,,,,,,,,,,,,,,
79,Re-Wri-Gram-SelectForm-2,v1,r5,,,,,,,,,,,,,,,,,
80,Re-Wri-Gram-SelectForm-3,v1,r5,,,,,,,,,,,,,,,,,
81,Re-Wri-Gram-SelectForm-4,v2,r6,,,,,,,,,,,,,,,,,
82,Re-Wri-Gram-SelectForm-5,v2,r6,,,,,,,,,,,,,,,,,
83,Re-Wri-Gram-SelectForm-6,v2,r6,,,,,,,,,,,,,,,,,
84,Re-Wri-Gram-SelectForm-7,v1,r5,,,,,,,,,,,,,,,,,
85,Re-Wri-Gram-SelectForm-8,v1,r5,,,,,,,,,,,,,,,,,
86,Re-Wri-Gram-SelectForm-9,v3,r7,,,,,,,,,,,,,,,,,
87,Re-Wri-Gram-SelectForm-10,v2,r7,,,,,,,,,,,,,,,,,
88,Re-Wri-Gram-SelectForm-11,v1,r5,,,,,,,,,,,,,,,,,
89,Re-Wri-Gram-SelectForm-12,v3,r10,,,,,,,,,,,,,,,,,
90,Re-Wri-Gram-SelectForm-13,v2,r9,,,,,,,,,,,,,,,,,
91,Re-Wri-Gram-SelectForm-14,v3,r7,,,,,,,,,,,,,,,,,
92,Re-Wri-Gram-SelectForm-15,v1,r7,,,,,,,,,,,,,,,,,
93,Re-Wri-Gram-SelectForm-16,v1,r6,,,,,,,,,,,,,,,,,
94,Re-Wri-Gram-SelectForm-17,v1,r5,,,,,,,,,,,,,,,,,
95,Re-Wri-Gram-SelectForm-18,v2,r8,,,,,,,,,,,,,,,,,
96,Re-Wri-Gram-SelectForm-19,v1,r5,,,,,,,,,,,,,,,,,
97,Re-Wri-Gram-SelectForm-20,v2,r8,,,,,,,,,,,,,,,,,
98,ReFdL-Wri-Sp-Hotspot-1,v3,r9,,,,,,,,,,,,,,,,,
99,ReFdM-Wri-Gram-SelectForm-15a,v1,r4,,,,,,,,,,,,,,,,,
100,ReFdM-Wri-Gram-SelectForm-19,v1,r4,,,,,,,,,,,,,,,,,
101,ReFdM-Wri-Gram-SelectForm-08,v1,r4,,,,,,,,,,,,,,,,,
102,ReFdM-Wri-Gram-SelectForm-04,v1,r4,,,,,,,,,,,,,,,,,
103,ReFdM-Wri-Gram-SelectForm-06,v1,r3,,,,,,,,,,,,,,,,,
104,ReFdM-Wri-Gram-SelectForm-16,v1,r4,,,,,,,,,,,,,,,,,
105,ReFdM-Wri-Gram-SelectForm-14,v1,r4,,,,,,,,,,,,,,,,,
106,ReFdM-Wri-Gram-SelectForm-07,v1,r3,,,,,,,,,,,,,,,,,
107,ReFdM-Wri-Gram-SelectForm-17,v1,r4,,,,,,,,,,,,,,,,,
108,ReFdM-Wri-Gram-SelectForm-01,v1,r4,,,,,,,,,,,,,,,,,
109,ReFdM-Wri-Gram-SelectForm-02,v1,r5,,,,,,,,,,,,,,,,,
110,ReFdM-Wri-Gram-SelectForm-03,v1,r8,,,,,,,,,,,,,,,,,
111,ReFdM-Wri-Gram-SelectForm-05,v1,r3,,,,,,,,,,,,,,,,,
112,ReFdM-Wri-Gram-SelectForm-09,v1,r4,,,,,,,,,,,,,,,,,
113,ReFdM-Wri-Gram-SelectForm-10,v1,r3,,,,,,,,,,,,,,,,,
114,ReFdM-Wri-Gram-SelectForm-12,v1,r4,,,,,,,,,,,,,,,,,
115,ReFdM-Wri-Gram-SelectForm-13,v1,r4,,,,,,,,,,,,,,,,,
116,ReFdM-Wri-Gram-SelectForm-18,v2,r5,,,,,,,,,,,,,,,,,
117,ReFdM-Wri-Gram-SelectForm-20,v1,r6,,,,,,,,,,,,,,,,,
118,ReFdM-Wri-Gram-SelectForm-11,v1,r4,,,,,,,,,,,,,,,,,
119,ReFdM-Wri-Sp-Hotspot-01,v1,r7,,,,,,,,,,,,,,,,,
120,ReFdM-List-Und-Lectures-01,v1,r3,,,,,,,,,,,,,,,,,
121,ReFdM-List-Und-Lectures-02,v1,r2,,,,,,,,,,,,,,,,,
122,ReFdM-List-Und-Lectures-05,v1,r2,,,,,,,,,,,,,,,,,
123,ReFdM-List-Und-Lectures-06,v1,r2,,,,,,,,,,,,,,,,,
124,ReFNWI-Wri-Gram-SelectForm-20,v1,r3,,,,,,,,,,,,,,,,,
125,ReFNWI-Wri-Gram-SelectForm-19,v1,r3,,,,,,,,,,,,,,,,,
126,ReFNWI-Wri-Gram-SelectForm-18,v2,r4,,,,,,,,,,,,,,,,,
127,ReFNWI-Wri-Gram-SelectForm-17,v1,r3,,,,,,,,,,,,,,,,,
128,ReFNWI-Wri-Gram-SelectForm-16,v1,r3,,,,,,,,,,,,,,,,,
129,ReFNWI-Wri-Gram-SelectForm-15,v1,r3,,,,,,,,,,,,,,,,,
130,ReFNWI-Wri-Gram-SelectForm-14,v1,r3,,,,,,,,,,,,,,,,,
131,ReFNWI-Wri-Gram-SelectForm-13,v1,r4,,,,,,,,,,,,,,,,,
132,ReFNWI-Wri-Gram-SelectForm-12,v1,r3,,,,,,,,,,,,,,,,,
133,ReFNWI-Wri-Gram-SelectForm-11,v1,r3,,,,,,,,,,,,,,,,,
134,ReFNWI-Wri-Gram-SelectForm-10,v1,r2,,,,,,,,,,,,,,,,,
135,ReFNWI-Wri-Gram-SelectForm-09,v2,r3,,,,,,,,,,,,,,,,,
136,ReFNWI-Wri-Gram-SelectForm-08,v1,r2,,,,,,,,,,,,,,,,,
137,ReFNWI-Wri-Gram-SelectForm-07,v2,r3,,,,,,,,,,,,,,,,,
138,ReFNWI-Wri-Gram-SelectForm-06,v1,r2,,,,,,,,,,,,,,,,,
139,ReFNWI-Wri-Gram-SelectForm-05,v1,r3,,,,,,,,,,,,,,,,,
140,ReFNWI-Wri-Gram-SelectForm-04,v1,r3,,,,,,,,,,,,,,,,,
141,ReFNWI-Wri-Gram-SelectForm-03,v1,r2,,,,,,,,,,,,,,,,,
142,ReFNWI-Wri-Gram-SelectForm-02,v1,r2,,,,,,,,,,,,,,,,,
143,ReFNWI-Wri-Gram-SelectForm-01,v1,r3,,,,,,,,,,,,,,,,,
144,ReFNWI-Wri-Sp-Hotspot-01,v2,r6,,,,,,,,,,,,,,,,,
145,ReFNWI-List-Und-Lectures-01,v1,r4,,,,,,,,,,,,,,,,,
146,ReFNWI-List-Und-Lectures-02,v1,r2,,,,,,,,,,,,,,,,,
147,ReFNWI-List-Und-Lectures-03,v1,r3,,,,,,,,,,,,,,,,,
148,ReFNWI-List-Und-Lectures-04,v1,r3,,,,,,,,,,,,,,,,,
149,ReFNWI-List-Und-Lectures-05,v1,r3,,,,,,,,,,,,,,,,,
150,ReFNWI-List-Und-Lectures-06,v1,r5,,,,,,,,,,,,,,,,,
151,ReFSW-Wri-Gram-SelectForm-20,v1,r2,,,,,,,,,,,,,,,,,
152,ReFSW-Wri-Gram-SelectForm-19,v1,r2,,,,,,,,,,,,,,,,,
153,ReFSW-Wri-Gram-SelectForm-18,v2,r3,,,,,,,,,,,,,,,,,
154,ReFSW-Wri-Gram-SelectForm-17,v1,r3,,,,,,,,,,,,,,,,,
155,ReFSW-Wri-Gram-SelectForm-16,v1,r3,,,,,,,,,,,,,,,,,
156,ReFSW-Wri-Gram-SelectForm-15,v2,r4,,,,,,,,,,,,,,,,,
157,ReFSW-Wri-Gram-SelectForm-14,v1,r3,,,,,,,,,,,,,,,,,
158,ReFSW-Wri-Gram-SelectForm-13,v1,r3,,,,,,,,,,,,,,,,,
159,ReFSW-Wri-Gram-SelectForm-12,v1,r2,,,,,,,,,,,,,,,,,
160,ReFSW-Wri-Gram-SelectForm-11,v1,r2,,,,,,,,,,,,,,,,,
161,ReFSW-Wri-Gram-SelectForm-10,v1,r3,,,,,,,,,,,,,,,,,
162,ReFSW-Wri-Gram-SelectForm-09,v1,r3,,,,,,,,,,,,,,,,,
163,ReFSW-Wri-Gram-SelectForm-08,v1,r2,,,,,,,,,,,,,,,,,
164,ReFSW-Wri-Gram-SelectForm-07,v1,r2,,,,,,,,,,,,,,,,,
165,ReFSW-Wri-Gram-SelectForm-06,v1,r2,,,,,,,,,,,,,,,,,
166,ReFSW-Wri-Gram-SelectForm-05,v1,r3,,,,,,,,,,,,,,,,,
167,ReFSW-Wri-Gram-SelectForm-04,v1,r4,,,,,,,,,,,,,,,,,
168,ReFSW-Wri-Gram-SelectForm-03,v2,r5,,,,,,,,,,,,,,,,,
169,ReFSW-Wri-Gram-SelectForm-02,v2,r5,,,,,,,,,,,,,,,,,
170,ReFSW-Wri-Gram-SelectForm-01,v1,r3,,,,,,,,,,,,,,,,,
171,ReFSW-Wri-Sp-Hotspot-01,v3,r8,,,,,,,,,,,,,,,,,
172,ReFSW-List-Und-Lectures-01,v1,r5,,,,,,,,,,,,,,,,,
173,ReFSW-List-Und-Lectures-02,v1,r3,,,,,,,,,,,,,,,,,
174,ReFSW-List-Und-Lectures-03,v1,r7,,,,,,,,,,,,,,,,,
175,ReFSW-List-Und-Lectures-04,v1,r3,,,,,,,,,,,,,,,,,
,Re-Wri-Voc-WordFormation-2,,,,,,,,,,,,,,,,,,,
176,Re-Wri-Voc-WordFormation-2-v6,r17,1,,,,,,,,,,,,,,,,,
177,Re-Wri-Voc-WordFormation-2-v6,r17,2,,,,,,,,,,,,,,,,,
178,Re-Wri-Voc-WordFormation-2-v6,r17,3,,,,,,,,,,,,,,,,,
179,Re-Wri-Voc-WordFormation-2-v6,r17,4,,,,,,,,,,,,,,,,,
180,Re-Wri-Voc-WordFormation-2-v6,r17,5,,,,,,,,,,,,,,,,,
181,Re-Wri-Voc-WordFormation-2-v6,r17,6,,,,,,,,,,,,,,,,,
182,Re-Wri-Voc-WordFormation-2-v6,r17,7,,,,,,,,,,,,,,,,,
183,Re-Wri-Voc-WordFormation-2-v6,r17,8,,,,,,,,,,,,,,,,,
184,Re-Wri-Voc-WordFormation-2-v6,r17,9,,,,,,,,,,,,,,,,,
,Re-Wri-Voc-WordFormation-1,,,,,,,,,,,,,,,,,,,
185,Re-Wri-Voc-WordFormation-1-v2,r9,1,,,,,,,,,,,,,,,,,
186,Re-Wri-Voc-WordFormation-1-v2,r9,2,,,,,,,,,,,,,,,,,
187,Re-Wri-Voc-WordFormation-1-v2,r9,3,,,,,,,,,,,,,,,,,
188,Re-Wri-Voc-WordFormation-1-v2,r9,4,,,,,,,,,,,,,,,,,
189,Re-Wri-Voc-WordFormation-1-v2,r9,5,,,,,,,,,,,,,,,,,
190,Re-Wri-Voc-WordFormation-1-v2,r9,6,,,,,,,,,,,,,,,,,
191,Re-Wri-Voc-WordFormation-1-v2,r9,7,,,,,,,,,,,,,,,,,
192,Re-Wri-Voc-WordFormation-1-v2,r9,8,,,,,,,,,,,,,,,,,
193,Re-Wri-Voc-WordFormation-1-v2,r9,9,,,,,,,,,,,,,,,,,
194,Re-Wri-Voc-WordFormation-1-v2,r9,10,,,,,,,,,,,,,,,,,
,Re-Wri-Sp-Punctuation-8-9,,,,,,,,,,,,,,,,,,,
195,Re-Wri-Sp-Punctuation-8-9-v6,r13,1,,,,,,,,,,,,,,,,,
196,Re-Wri-Sp-Punctuation-8-9-v6,r13,2,,,,,,,,,,,,,,,,,
,Re-Wri-Sp-Punctuation-5-6,,,,,,,,,,,,,,,,,,,
197,Re-Wri-Sp-Punctuation-5-6-v6,r10,1,,,,,,,,,,,,,,,,,
198,Re-Wri-Sp-Punctuation-5-6-v6,r10,2,,,,,,,,,,,,,,,,,
,Re-Wri-Sp-Punctuation-1-4,,,,,,,,,,,,,,,,,,,
199,Re-Wri-Sp-Punctuation-1-4-v7,r15,1,,,,,,,,,,,,,,,,,
200,Re-Wri-Sp-Punctuation-1-4-v7,r15,2,,,,,,,,,,,,,,,,,
201,Re-Wri-Sp-Punctuation-1-4-v7,r15,3,,,,,,,,,,,,,,,,,
,Re-List-Und-Summary-1,,,,,,,,,,,,,,,,,,,
202,Re-List-Und-Summary-1-v2,r7,1,,,,,,,,,,,,,,,,,
203,Re-List-Und-Summary-1-v2,r7,2,,,,,,,,,,,,,,,,,
204,Re-List-Und-Summary-1-v2,r7,3,,,,,,,,,,,,,,,,,
205,Re-List-Und-Summary-1-v2,r7,4,,,,,,,,,,,,,,,,,
206,Re-List-Und-Summary-1-v2,r7,5,,,,,,,,,,,,,,,,,
207,Re-List-Und-Summary-1-v2,r7,6,,,,,,,,,,,,,,,,,
208,Re-List-Und-Summary-1-v2,r7,7,,,,,,,,,,,,,,,,,
,Re-List-Und-Summary-2,,,,,,,,,,,,,,,,,,,
209,Re-List-Und-Summary-2-v2,r7,1,,,,,,,,,,,,,,,,,
210,Re-List-Und-Summary-2-v2,r7,2,,,,,,,,,,,,,,,,,
211,Re-List-Und-Summary-2-v2,r7,3,,,,,,,,,,,,,,,,,
212,Re-List-Und-Summary-2-v2,r7,4,,,,,,,,,,,,,,,,,
213,Re-List-Und-Summary-2-v2,r7,5,,,,,,,,,,,,,,,,,
,ReFFTR-Read-Voc-WordsinText-01,,,,,,,,,,,,,,,,,,,
214,ReFFTR-Read-Voc-WordsinText-01-v1,r13,1,,,,,,,,,,,,,,,,,
215,ReFFTR-Read-Voc-WordsinText-01-v1,r13,2,,,,,,,,,,,,,,,,,
216,ReFFTR-Read-Voc-WordsinText-01-v1,r13,3,,,,,,,,,,,,,,,,,
217,ReFFTR-Read-Voc-WordsinText-01-v1,r13,4,,,,,,,,,,,,,,,,,
218,ReFFTR-Read-Voc-WordsinText-01-v1,r13,5,,,,,,,,,,,,,,,,,
219,ReFFTR-Read-Voc-WordsinText-01-v1,r13,6,,,,,,,,,,,,,,,,,
220,ReFFTR-Read-Voc-WordsinText-01-v1,r13,7,,,,,,,,,,,,,,,,,
221,ReFFTR-Read-Voc-WordsinText-01-v1,r13,8,,,,,,,,,,,,,,,,,
222,ReFFTR-Read-Voc-WordsinText-01-v1,r13,9,,,,,,,,,,,,,,,,,
223,ReFFTR-Read-Voc-WordsinText-01-v1,r13,10,,,,,,,,,,,,,,,,,
224,ReFFTR-Read-Voc-WordsinText-01-v1,r13,11,,,,,,,,,,,,,,,,,
225,ReFFTR-Read-Voc-WordsinText-01-v1,r13,12,,,,,,,,,,,,,,,,,
226,ReFFTR-Read-Voc-WordsinText-01-v1,r13,13,,,,,,,,,,,,,,,,,
227,ReFFTR-Read-Voc-WordsinText-01-v1,r13,14,,,,,,,,,,,,,,,,,
,ReFdL-Read-Voc-WordsinText-2,,,,,,,,,,,,,,,,,,,
228,ReFdL-Read-Voc-WordsinText-2-v4,r7,1,,,,,,,,,,,,,,,,,
229,ReFdL-Read-Voc-WordsinText-2-v4,r7,2,,,,,,,,,,,,,,,,,
230,ReFdL-Read-Voc-WordsinText-2-v4,r7,3,,,,,,,,,,,,,,,,,
231,ReFdL-Read-Voc-WordsinText-2-v4,r7,4,,,,,,,,,,,,,,,,,
232,ReFdL-Read-Voc-WordsinText-2-v4,r7,5,,,,,,,,,,,,,,,,,
233,ReFdL-Read-Voc-WordsinText-2-v4,r7,6,,,,,,,,,,,,,,,,,
234,ReFdL-Read-Voc-WordsinText-2-v4,r7,7,,,,,,,,,,,,,,,,,
235,ReFdL-Read-Voc-WordsinText-2-v4,r7,8,,,,,,,,,,,,,,,,,
236,ReFdL-Read-Voc-WordsinText-2-v4,r7,9,,,,,,,,,,,,,,,,,
237,ReFdL-Read-Voc-WordsinText-2-v4,r7,10,,,,,,,,,,,,,,,,,
238,ReFdL-Read-Voc-WordsinText-2-v4,r7,11,,,,,,,,,,,,,,,,,
239,ReFdL-Read-Voc-WordsinText-2-v4,r7,12,,,,,,,,,,,,,,,,,
240,ReFdL-Read-Voc-WordsinText-2-v4,r7,13,,,,,,,,,,,,,,,,,
241,ReFdL-Read-Voc-WordsinText-2-v4,r7,14,,,,,,,,,,,,,,,,,
,ReFdM-Read-Voc-WordsinText-01,,,,,,,,,,,,,,,,,,,
242,ReFdM-Read-Voc-WordsinText-01-v1,r11,1,,,,,,,,,,,,,,,,,
243,ReFdM-Read-Voc-WordsinText-01-v1,r11,2,,,,,,,,,,,,,,,,,
244,ReFdM-Read-Voc-WordsinText-01-v1,r11,3,,,,,,,,,,,,,,,,,
245,ReFdM-Read-Voc-WordsinText-01-v1,r11,4,,,,,,,,,,,,,,,,,
246,ReFdM-Read-Voc-WordsinText-01-v1,r11,5,,,,,,,,,,,,,,,,,
247,ReFdM-Read-Voc-WordsinText-01-v1,r11,6,,,,,,,,,,,,,,,,,
248,ReFdM-Read-Voc-WordsinText-01-v1,r11,7,,,,,,,,,,,,,,,,,
249,ReFdM-Read-Voc-WordsinText-01-v1,r11,8,,,,,,,,,,,,,,,,,
250,ReFdM-Read-Voc-WordsinText-01-v1,r11,9,,,,,,,,,,,,,,,,,
251,ReFdM-Read-Voc-WordsinText-01-v1,r11,10,,,,,,,,,,,,,,,,,
252,ReFdM-Read-Voc-WordsinText-01-v1,r11,11,,,,,,,,,,,,,,,,,
253,ReFdM-Read-Voc-WordsinText-01-v1,r11,12,,,,,,,,,,,,,,,,,
254,ReFdM-Read-Voc-WordsinText-01-v1,r11,13,,,,,,,,,,,,,,,,,
255,ReFdM-Read-Voc-WordsinText-01-v1,r11,14,,,,,,,,,,,,,,,,,
,ReFdL-Read-Voc-WordsInText-1,,,,,,,,,,,,,,,,,,,
256,ReFdL-Read-Voc-WordsInText-1-v1,r5,1,,,,,,,,,,,,,,,,,
257,ReFdL-Read-Voc-WordsInText-1-v1,r5,2,,,,,,,,,,,,,,,,,
258,ReFdL-Read-Voc-WordsInText-1-v1,r5,3,,,,,,,,,,,,,,,,,
259,ReFdL-Read-Voc-WordsInText-1-v1,r5,4,,,,,,,,,,,,,,,,,
260,ReFdL-Read-Voc-WordsInText-1-v1,r5,5,,,,,,,,,,,,,,,,,
261,ReFdL-Read-Voc-WordsInText-1-v1,r5,6,,,,,,,,,,,,,,,,,
262,ReFdL-Read-Voc-WordsInText-1-v1,r5,7,,,,,,,,,,,,,,,,,
263,ReFdL-Read-Voc-WordsInText-1-v1,r5,8,,,,,,,,,,,,,,,,,
264,ReFdL-Read-Voc-WordsInText-1-v1,r5,9,,,,,,,,,,,,,,,,,
265,ReFdL-Read-Voc-WordsInText-1-v1,r5,10,,,,,,,,,,,,,,,,,
266,ReFdL-Read-Voc-WordsInText-1-v1,r5,11,,,,,,,,,,,,,,,,,
267,ReFdL-Read-Voc-WordsInText-1-v1,r5,12,,,,,,,,,,,,,,,,,
268,ReFdL-Read-Voc-WordsInText-1-v1,r5,13,,,,,,,,,,,,,,,,,
269,ReFdL-Read-Voc-WordsInText-1-v1,r5,14,,,,,,,,,,,,,,,,,
,ReFSW-Read-voc-WordsinText-01,,,,,,,,,,,,,,,,,,,
270,ReFSW-Read-voc-WordsinText-01-v2,r25,1,,,,,,,,,,,,,,,,,
271,ReFSW-Read-voc-WordsinText-01-v2,r25,2,,,,,,,,,,,,,,,,,
272,ReFSW-Read-voc-WordsinText-01-v2,r25,3,,,,,,,,,,,,,,,,,
273,ReFSW-Read-voc-WordsinText-01-v2,r25,4,,,,,,,,,,,,,,,,,
274,ReFSW-Read-voc-WordsinText-01-v2,r25,5,,,,,,,,,,,,,,,,,
275,ReFSW-Read-voc-WordsinText-01-v2,r25,6,,,,,,,,,,,,,,,,,
276,ReFSW-Read-voc-WordsinText-01-v2,r25,7,,,,,,,,,,,,,,,,,
277,ReFSW-Read-voc-WordsinText-01-v2,r25,8,,,,,,,,,,,,,,,,,
278,ReFSW-Read-voc-WordsinText-01-v2,r25,9,,,,,,,,,,,,,,,,,
279,ReFSW-Read-voc-WordsinText-01-v2,r25,10,,,,,,,,,,,,,,,,,
280,ReFSW-Read-voc-WordsinText-01-v2,r25,11,,,,,,,,,,,,,,,,,
281,ReFSW-Read-voc-WordsinText-01-v2,r25,12,,,,,,,,,,,,,,,,,
282,ReFSW-Read-voc-WordsinText-01-v2,r25,13,,,,,,,,,,,,,,,,,
283,ReFSW-Read-voc-WordsinText-01-v2,r25,14,,,,,,,,,,,,,,,,,
